Context,Sub-Context,X,Y
SubmersibleToBucket,ControlPoint,currentX,125
SubmersibleToBucket,ControlPoint,36.29,109.641
SubmersibleToBucket,EndPoint,15,125
SubmersibleToBucket,InterpolationType,Tangential
SubmersibleToBucket,InterpolationParam1,0
SubmersibleToBucket,InterpolationParam2,0
SubmersibleToBucket,IsPathReversed,TRUE
ClipPath,EndPoint,24,72
ClipPath,InterpolationType,Linear
ClipPath,InterpolationParam1,0.0001
ClipPath,InterpolationParam2,0
ClipToHumanPlayer,EndPoint,24.5,28.5
ClipToHumanPlayer,InterpolationType,Linear
ClipToHumanPlayer,InterpolationParam1,180.0001,
SubmersibleToHumanPlayer,ControlPoint,currentX,24
SubmersibleToHumanPlayer,EndPoint,44,24
SubmersibleToHumanPlayer,InterpolationType,Linear
SubmersibleToHumanPlayer,InterpolationParam1,180
TestPath1,ControlPoint,20,currentY
TestPath,EndPoint,20,40
TestPath,InterpolationType,Constant
TestPath,InterpolationParam1,0
