X  , Y  ,Angle,Move Type,Tangent,Velocity,Correction, Elbow , Elbow Speed, Slide, Pitch,Roll,Claw, Wait,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.7,65,-180,line,0,100,0,1700,1,0,0.7,0.8,0.86,0,Starting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.7,65,-180,line,0,100,0,0,1,0,0.3,0.8,0.86,0,Starting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,61,-135,line,0,100,1.5,90,1,9,0.3,0.8,0.86,0,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,61,-135,line,0,100,0,90,1,32,0.8,0.8,0.86,0.4,Extend Slides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,61,-135,line,0,100,0,90,1,32,0.8,0.8,0.38,0.5,Release Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,61,-135,line,0,100,0,90,1,32,0.1,0.8,0.38,0.3,Move Pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45.5,-90,line,0,100,1,0,1,9,0.1,0.8,0.38,0,Go to Pick Up 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45.5,-90,line,0,100,0,0,1,9,0.1,0.8,0.86,0.7,Pick Up 1st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,1.3,90,1,9,0.5,0.8,0.86,0,Go To B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,0,90,1,32,0.8,0.8,0.86,0.3,Extend Slides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,0,90,1,32,0.8,0.8,0.38,0.5,Release Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,0,90,1,32,0.1,0.8,0.38,0.3,Move Pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,45.5,-90,line,0,100,1,0,1,9,0.1,0.8,0.38,0,Go to Pick Up 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,45.5,-90,line,0,100,0,0,1,9,0.1,0.8,0.86,0.7,Pick Up 2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
