2025-02-16 15:21:06:475	Fenix:updatePresets	debug	/sdcard/Download/TeleOpV5/PresetPositions.csv (No such file or directory)
2025-02-16 15:21:06:490	Fenix:PresetReading	debug	/sdcard/Download/teleop/PathConfiguration.csv (No such file or directory)
2025-02-16 15:21:06:821	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,7.0,0.0
2025-02-16 15:21:06:850	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:06:856	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:06:859	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:06:861	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:06:913	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,3.0
2025-02-16 15:21:06:927	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:06:930	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:06:932	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:06:934	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:06:984	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,3.0
2025-02-16 15:21:06:999	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:002	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:004	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:006	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:044	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0,3.0
2025-02-16 15:21:07:057	Fenix:arm	debug	0.0,13.00000238416429,-0.0,0.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:07:059	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:061	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:063	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:100	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0,3.0
2025-02-16 15:21:07:113	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:115	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:117	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:119	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:156	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,0.0
2025-02-16 15:21:07:169	Fenix:arm	debug	0.0,13.00000238416429,-0.0,14.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:171	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:173	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:175	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:208	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,7.0,3.0
2025-02-16 15:21:07:220	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:222	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:224	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:226	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:258	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:07:271	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:07:274	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:276	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:277	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:325	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,0.0
2025-02-16 15:21:07:340	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:344	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:348	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:351	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:387	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,3.0
2025-02-16 15:21:07:408	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:07:412	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:414	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:416	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:456	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,3.0
2025-02-16 15:21:07:470	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:07:473	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:476	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:478	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:525	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,3.0
2025-02-16 15:21:07:539	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:07:542	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:544	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:546	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:582	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,0.0
2025-02-16 15:21:07:596	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:598	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:601	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:604	Fenix:buttonPresses	debug	0.0
