2025-01-03 19:04:31:746	Fenix:updatePresets	debug	/sdcard/Download/TeleOpV5/PresetPositions.csv (No such file or directory)
2025-01-03 19:04:34:095	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-01-03 19:04:34:117	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:121	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:123	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:124	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:155	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-01-03 19:04:34:170	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:172	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:174	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:176	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:207	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-01-03 19:04:34:222	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:224	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:226	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:229	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:264	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-01-03 19:04:34:279	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:281	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:283	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:284	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:314	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-01-03 19:04:34:328	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:331	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:333	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:335	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:366	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
2025-01-03 19:04:34:380	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:382	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:384	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:385	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:415	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
2025-01-03 19:04:34:429	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:431	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:433	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:435	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:470	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-01-03 19:04:34:487	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:489	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:492	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:495	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:536	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-01-03 19:04:34:552	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:554	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:556	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:558	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:613	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-01-03 19:04:34:638	Fenix:arm	debug	0.0,14.000097366616577,0.0,0.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:643	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:645	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:647	Fenix:buttonPresses	debug	0.0
2025-01-03 19:04:34:686	Fenix:drivetrain	debug	0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-01-03 19:04:34:704	Fenix:arm	debug	0.0,14.000097366616577,0.0,3.0,0.2064409578860446,0.0,3.0
2025-01-03 19:04:34:707	Fenix:endEffector	debug	0.0,0.0,0.0
2025-01-03 19:04:34:710	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-01-03 19:04:34:713	Fenix:buttonPresses	debug	0.0
